study,seed,metric,configuration,geometric,memory,spectral,steps_requested,steps_completed,initial_loss,final_loss,best_loss,diverged,runtime_s,mean_geometric_force,mean_memory_force,mean_spectral_force
architecture,30,hessian,G0M0S0,0,0,0,300,300,-1.2359138362024136,-19.000757521744028,-19.00075752174403,0,0.08162620000075549,0.0,0.0,0.0
architecture,30,hessian,G0M0S1,0,0,1,300,300,-1.2359138362024136,-19.000750756594186,-19.000750756593586,0,0.2789150000025984,0.0,0.0,0.008977235333611989
architecture,30,hessian,G0M1S0,0,1,0,300,300,-1.2359138362024136,-19.000757521744042,-19.00075752174405,0,0.08074410000699572,0.0,0.05349026186713814,0.0
architecture,30,hessian,G0M1S1,0,1,1,300,300,-1.2359138362024136,-19.000752259355675,-19.000753945136214,0,0.2814171000063652,0.0,0.047334173986378,0.008645543672857267
architecture,30,hessian,G1M0S0,1,0,0,300,300,-1.2359138362024136,-19.000757521744028,-19.00075752174403,0,0.20587730000261217,0.11209527385321487,0.0,0.0
architecture,30,hessian,G1M0S1,1,0,1,300,300,-1.2359138362024136,-19.00075075643339,-19.000750756423617,0,0.4091711000073701,0.11107961227568137,0.0,0.00941035211727515
architecture,30,hessian,G1M1S0,1,1,0,300,300,-1.2359138362024136,-25.290206813665364,-25.290206813665367,0,0.20439700000861194,0.1616520166844733,0.14992531407588175,0.0
architecture,30,hessian,G1M1S1,1,1,1,300,300,-1.2359138362024136,-25.290193150775327,-25.290193150774524,0,0.4499731000105385,0.14721433157667815,0.16117554311222915,0.010985590223809556
architecture,31,control,G0M0S0,0,0,0,300,300,-1.5255675283269643,-24.773804467370137,-24.769747737294196,0,0.10168240001075901,0.0,0.0,0.0
architecture,31,control,G0M0S1,0,0,1,300,300,-1.5255675283269643,-24.774668478970465,-24.770609872840353,0,0.30707080000138376,0.0,0.0,0.0014295993797109566
architecture,31,control,G0M1S0,0,1,0,300,300,-1.5255675283269643,-24.96539471678116,-24.960790125731002,0,0.0803172000014456,0.0,0.26939850569877877,0.0
architecture,31,control,G0M1S1,0,1,1,300,300,-1.5255675283269643,-24.96606857283721,-24.961467824338882,0,0.29985010001109913,0.0,0.26942922636809397,0.0014389704309766371
architecture,31,control,G1M0S0,1,0,0,300,300,-1.5255675283269643,-24.76095874392616,-24.756939674595678,0,0.20549120000214316,0.018133535669198328,0.0,0.0
architecture,31,control,G1M0S1,1,0,1,300,300,-1.5255675283269643,-24.761836653444547,-24.7578152805509,0,0.45377199999347795,0.018126556847709793,0.0,0.001429367881237781
architecture,31,control,G1M1S0,1,1,0,300,300,-1.5255675283269643,-24.951987292464725,-24.94732751519701,0,0.31561609999334905,0.02031456996766171,0.26755960785080685,0.0
architecture,31,control,G1M1S1,1,1,1,300,300,-1.5255675283269643,-24.952691928385477,-24.948035676595758,0,0.4622166000044672,0.02030798046779942,0.2675910501360403,0.0014388399426946109
architecture,31,hessian,G0M0S0,0,0,0,300,300,-1.5255675283269643,-33.19871800507694,-33.19871800507695,0,0.07001660000241827,0.0,0.0,0.0
architecture,31,hessian,G0M0S1,0,0,1,300,300,-1.5255675283269643,-33.19871743094362,-33.19871743094012,0,0.3134633999870857,0.0,0.0,0.0034340453198871148
architecture,31,hessian,G0M1S0,0,1,0,300,300,-1.5255675283269643,-33.19871800507697,-33.198718005076984,0,0.08435150000150315,0.0,0.06193278584225241,0.0
architecture,31,hessian,G0M1S1,0,1,1,300,300,-1.5255675283269643,-33.19871755825352,-33.198717558253485,0,0.28054449999763165,0.0,0.06219617489709661,0.00343372271979438
architecture,31,hessian,G1M0S0,1,0,0,300,300,-1.5255675283269643,-33.19871800507625,-33.19871800507616,0,0.23777409999456722,0.4819938041774873,0.0,0.0
architecture,31,hessian,G1M0S1,1,0,1,300,300,-1.5255675283269643,-33.19871743123184,-33.19871744230519,0,0.4520580999960657,0.5132266781229655,0.0,0.003894544181016604
architecture,31,hessian,G1M1S0,1,1,0,300,300,-1.5255675283269643,-33.198718005076955,-33.198718005076984,0,0.24133149998669978,0.6770599359566932,0.570949045781323,0.0
architecture,31,hessian,G1M1S1,1,1,1,300,300,-1.5255675283269643,-33.19871755825875,-33.198717577672824,0,0.4492234999925131,0.6913082778191243,0.5826636850055321,0.003800074786590777
architecture,32,control,G0M0S0,0,0,0,300,300,-1.0424254224070364,-25.29000977298547,-25.29000376087526,0,0.08754459999909159,0.0,0.0,0.0
architecture,32,control,G0M0S1,0,0,1,300,300,-1.0424254224070364,-25.290008092904387,-25.29000206105347,0,0.33096170000499114,0.0,0.0,0.0013109917354452289
architecture,32,control,G0M1S0,0,1,0,300,300,-1.0424254224070364,-25.29014125818712,-25.2901389257683,0,0.08091119999880902,0.0,0.2656287656893406,0.0
architecture,32,control,G0M1S1,0,1,1,300,300,-1.0424254224070364,-25.290140313219794,-25.290137966752823,0,0.33853170000656974,0.0,0.2656337682347484,0.001325357589798002
architecture,32,control,G1M0S0,1,0,0,300,300,-1.0424254224070364,-25.290016512352466,-25.290010704007635,0,0.25978860000032,0.014517721331600229,0.0,0.0
architecture,32,control,G1M0S1,1,0,1,300,300,-1.0424254224070364,-25.29001485713728,-25.290009029312092,0,0.4861302999925101,0.014515247596944851,0.0,0.0013113650589459207
architecture,32,control,G1M1S0,1,1,0,300,300,-1.0424254224070364,-25.290143779795354,-25.290141536596693,0,0.26541269999870565,0.016385257481470784,0.2640920445011931,0.0
architecture,32,control,G1M1S1,1,1,1,300,300,-1.0424254224070364,-25.290142850738555,-25.290140593753236,0,0.4648973000003025,0.016382791761559524,0.26409711395009033,0.0013257422180770924
