seed,metric,configuration,step,loss
1,hessian,G0M0S0,75,-33.19741501138504
1,hessian,G0M0S0,150,-33.198717733899784
1,hessian,G0M0S0,225,-33.198718005020375
1,hessian,G0M0S0,299,-33.198718005076955
1,hessian,G0M0S1,0,-2.399810151985944
1,hessian,G0M0S1,75,-33.19739437286181
1,hessian,G0M0S1,150,-33.198716920283886
1,hessian,G0M0S1,225,-33.198717427394755
1,hessian,G0M0S1,299,-33.198717430947724
1,hessian,G0M1S0,0,-2.399810151985944
1,hessian,G0M1S0,75,-33.19847441078511
1,hessian,G0M1S0,150,-33.198718001572416
1,hessian,G0M1S0,225,-33.19871800507692
1,hessian,G0M1S0,299,-33.19871800507696
1,hessian,G0M1S1,0,-2.399810151985944
1,hessian,G0M1S1,75,-33.198466685236845
1,hessian,G0M1S1,150,-33.19871753093883
1,hessian,G0M1S1,225,-33.19871755815796
1,hessian,G0M1S1,299,-33.198717558253605
1,hessian,G1M0S0,0,-2.399810151985944
1,hessian,G1M0S0,75,-33.1980253887951
1,hessian,G1M0S0,150,-33.19871786027561
1,hessian,G1M0S0,225,-33.19871800504643
1,hessian,G1M0S0,299,-33.19871800507697
1,hessian,G1M0S1,0,-2.399810151985944
1,hessian,G1M0S1,75,-33.19801480894222
1,hessian,G1M0S1,150,-33.198717154523756
1,hessian,G1M0S1,225,-33.198717428975826
1,hessian,G1M0S1,299,-33.19871743097214
1,hessian,G1M1S0,0,-2.399810151985944
1,hessian,G1M1S0,75,-33.198646459163015
1,hessian,G1M1S0,150,-33.19871800402831
1,hessian,G1M1S0,225,-33.198718005076955
1,hessian,G1M1S0,299,-33.19871800507696
1,hessian,G1M1S1,0,-2.399810151985944
1,hessian,G1M1S1,75,-33.19864298023674
1,hessian,G1M1S1,150,-33.198717545497054
1,hessian,G1M1S1,225,-33.19871755820576
1,hessian,G1M1S1,299,-33.19871755825381
2,control,G0M0S0,0,-0.011455584795317584
2,control,G0M0S0,75,-14.47698351712811
2,control,G0M0S0,150,-18.960656259160796
2,control,G0M0S0,225,-19.000653119283385
2,control,G0M0S0,299,-19.000756595851115
2,control,G0M0S1,0,-0.011455584795317584
2,control,G0M0S1,75,-14.473465712293992
2,control,G0M0S1,150,-18.960638578145666
2,control,G0M0S1,225,-19.00065522391436
2,control,G0M0S1,299,-19.000756717237604
2,control,G0M1S0,0,-0.011455584795317584
2,control,G0M1S0,75,-15.654721960540995
2,control,G0M1S0,150,-18.99356461734481
2,control,G0M1S0,225,-19.00075088339502
2,control,G0M1S0,299,-19.000757471712795
2,control,G0M1S1,0,-0.011455584795317584
2,control,G0M1S1,75,-15.65223046280897
2,control,G0M1S1,150,-18.993567776881964
2,control,G0M1S1,225,-19.000751339419228
2,control,G0M1S1,299,-19.000757433977636
2,control,G1M0S0,0,-0.011455584795317584
2,control,G1M0S0,75,-14.592707805546878
2,control,G1M0S0,150,-18.96307977694192
2,control,G1M0S0,225,-19.000653898492654
2,control,G1M0S0,299,-19.000756495163763
2,control,G1M0S1,0,-0.011455584795317584
2,control,G1M0S1,75,-14.589315259633198
2,control,G1M0S1,150,-18.96306727708787
2,control,G1M0S1,225,-19.00065609536951
2,control,G1M0S1,299,-19.00075662921052
2,control,G1M1S0,0,-0.011455584795317584
2,control,G1M1S0,75,-15.759339916966267
2,control,G1M1S0,150,-18.994088262848308
2,control,G1M1S0,225,-19.00075033696132
2,control,G1M1S0,299,-19.00075746125967
2,control,G1M1S1,0,-0.011455584795317584
2,control,G1M1S1,75,-15.756902981326716
2,control,G1M1S1,150,-18.99409311586295
2,control,G1M1S1,225,-19.000750833273983
2,control,G1M1S1,299,-19.000757427898545
2,hessian,G0M0S0,0,-0.011455584795317584
2,hessian,G0M0S0,75,-25.28678187298487
2,hessian,G0M0S0,150,-25.29020609354998
2,hessian,G0M0S0,225,-25.290206813511205
2,hessian,G0M0S0,299,-25.290206813665325
2,hessian,G0M0S1,0,-0.011455584795317584
2,hessian,G0M0S1,75,-25.286783445129597
2,hessian,G0M0S1,150,-25.2901872151689
2,hessian,G0M0S1,225,-25.290189219412074
2,hessian,G0M0S1,299,-25.290189243415245
2,hessian,G0M1S0,0,-0.011455584795317584
2,hessian,G0M1S0,75,-25.289912772956377
2,hessian,G0M1S0,150,-25.290206809062173
2,hessian,G0M1S0,225,-25.290206813665275
2,hessian,G0M1S0,299,-25.290206813665364
2,hessian,G0M1S1,0,-0.011455584795317584
2,hessian,G0M1S1,75,-25.28986212599631
2,hessian,G0M1S1,150,-25.290192980040104
2,hessian,G0M1S1,225,-25.290193149857487
2,hessian,G0M1S1,299,-25.29019315078076
2,hessian,G1M0S0,0,-0.011455584795317584
2,hessian,G1M0S0,75,-25.28828040943297
2,hessian,G1M0S0,150,-25.29020641034805
2,hessian,G1M0S0,225,-25.290206813579438
2,hessian,G1M0S0,299,-25.290206813665343
2,hessian,G1M0S1,0,-0.011455584795317584
2,hessian,G1M0S1,75,-25.28804156807464
2,hessian,G1M0S1,150,-25.29018771855062
2,hessian,G1M0S1,225,-25.290189224549856
