step,optimizer,loss
116,entropy_descent,17.3224750952
116,hamiltonian_geometric,17.1294744077
117,sgd,19.9994812029
117,adam,19.9822081519
117,falling_ball,19.9975900749
117,entropy_descent,17.3206576465
117,hamiltonian_geometric,17.1290154017
118,sgd,19.9994775403
118,adam,19.9820815444
118,falling_ball,19.9975718722
118,entropy_descent,17.3188846843
118,hamiltonian_geometric,17.1285575031
119,sgd,19.9994738828
119,adam,19.9819553802
119,falling_ball,19.9975536984
119,entropy_descent,17.3171546364
119,hamiltonian_geometric,17.1281018217
120,sgd,19.9994702303
120,adam,19.9818317712
120,falling_ball,19.9975355534
120,entropy_descent,17.3154659909
120,hamiltonian_geometric,17.1276493975
121,sgd,19.9994665828
121,adam,19.9817050861
121,falling_ball,19.9975174368
121,entropy_descent,17.3138172943
121,hamiltonian_geometric,17.1272011261
122,sgd,19.9994629403
122,adam,19.9815766493
122,falling_ball,19.9974993487
122,entropy_descent,17.3122071493
122,hamiltonian_geometric,17.1267577081
123,sgd,19.9994593026
123,adam,19.9814537
123,falling_ball,19.9974812887
123,entropy_descent,17.3106342122
123,hamiltonian_geometric,17.1263196222
124,sgd,19.9994556699
124,adam,19.9813246659
124,falling_ball,19.9974632566
124,entropy_descent,17.3090971907
124,hamiltonian_geometric,17.1258871189
125,sgd,19.9994520419
125,adam,19.9811933968
125,falling_ball,19.9974452524
125,entropy_descent,17.3075948426
125,hamiltonian_geometric,17.1254602344
126,sgd,19.9994484187
126,adam,19.9810694809
126,falling_ball,19.9974272759
126,entropy_descent,17.3061259732
126,hamiltonian_geometric,17.1250388176
127,sgd,19.9994448002
127,adam,19.9809413601
127,falling_ball,19.9974093268
127,entropy_descent,17.3046894334
127,hamiltonian_geometric,17.1246225685
128,sgd,19.9994411865
128,adam,19.9808101033
128,falling_ball,19.997391405
128,entropy_descent,17.3032841184
128,hamiltonian_geometric,17.1242110817
129,sgd,19.9994375773
129,adam,19.9806822251
129,falling_ball,19.9973735104
129,entropy_descent,17.3019089657
129,hamiltonian_geometric,17.1238038908
130,sgd,19.9994339728
130,adam,19.9805538899
130,falling_ball,19.9973556427
130,entropy_descent,17.300562953
130,hamiltonian_geometric,17.1234005111
131,sgd,19.9994303729
131,adam,19.9804223048
131,falling_ball,19.9973378018
131,entropy_descent,17.2992450977
131,hamiltonian_geometric,17.1230004769
132,sgd,19.9994267775
132,adam,19.9802919222
132,falling_ball,19.9973199875
132,entropy_descent,17.297954454
132,hamiltonian_geometric,17.1226033709
133,sgd,19.9994231866
133,adam,19.9801625333
133,falling_ball,19.9973021997
133,entropy_descent,17.2966901128
133,hamiltonian_geometric,17.1222088462
134,sgd,19.9994196001
134,adam,19.9800310993
134,falling_ball,19.9972844383
134,entropy_descent,17.295451199
134,hamiltonian_geometric,17.1218166384
135,sgd,19.9994160181
135,adam,19.9798997474
135,falling_ball,19.997266703
135,entropy_descent,17.2942368713
135,hamiltonian_geometric,17.1214265703
136,sgd,19.9994124404
136,adam,19.9797675607
136,falling_ball,19.9972489937
136,entropy_descent,17.29304632
136,hamiltonian_geometric,17.1210385488
137,sgd,19.9994088671
137,adam,19.9796355267
137,falling_ball,19.9972313102
137,entropy_descent,17.2918787662
137,hamiltonian_geometric,17.1206525558
138,sgd,19.9994052981
138,adam,19.9795039482
138,falling_ball,19.9972136524
138,entropy_descent,17.2907334605
138,hamiltonian_geometric,17.1202686354
139,sgd,19.9994017334
139,adam,19.9793701314
139,falling_ball,19.9971960202
139,entropy_descent,17.2896096821
139,hamiltonian_geometric,17.1198868774
140,sgd,19.9993981729
140,adam,19.9792365689
140,falling_ball,19.9971784134
140,entropy_descent,17.288506737
140,hamiltonian_geometric,17.1195074014
141,sgd,19.9993946167
141,adam,19.979103624
141,falling_ball,19.9971608318
141,entropy_descent,17.2874239576
141,hamiltonian_geometric,17.1191303397
142,sgd,19.9993910646
142,adam,19.9789692318
142,falling_ball,19.9971432753
142,entropy_descent,17.2863607016
142,hamiltonian_geometric,17.1187558234
143,sgd,19.9993875167
143,adam,19.9788346692
143,falling_ball,19.9971257438
143,entropy_descent,17.2853163507
143,hamiltonian_geometric,17.1183839698
144,sgd,19.9993839728
144,adam,19.9787003561
144,falling_ball,19.9971082371
144,entropy_descent,17.2842903097
144,hamiltonian_geometric,17.1180148733
145,sgd,19.9993804331
145,adam,19.9785649647
145,falling_ball,19.997090755
145,entropy_descent,17.283282006
145,hamiltonian_geometric,17.1176486003
146,sgd,19.9993768974
146,adam,19.9784291121
146,falling_ball,19.9970732975
146,entropy_descent,17.2822908882
146,hamiltonian_geometric,17.1172851859
147,sgd,19.9993733657
147,adam,19.978293556
147,falling_ball,19.9970558643
147,entropy_descent,17.2813164257
147,hamiltonian_geometric,17.1169246342
148,sgd,19.999369838
148,adam,19.9781572512
148,falling_ball,19.9970384554
148,entropy_descent,17.2803581075
148,hamiltonian_geometric,17.1165669214
149,sgd,19.9993663143
149,adam,19.9780204407
149,falling_ball,19.9970210706
149,entropy_descent,17.2794154419
149,hamiltonian_geometric,17.1162119998
150,sgd,19.9993627945
150,adam,19.9778835427
150,falling_ball,19.9970037098
150,entropy_descent,17.2784879552
150,hamiltonian_geometric,17.1158598036
151,sgd,19.9993592785
151,adam,19.9777461324
151,falling_ball,19.9969863728
151,entropy_descent,17.2775751916
151,hamiltonian_geometric,17.115510255
152,sgd,19.9993557665
152,adam,19.9776084102
152,falling_ball,19.9969690595
152,entropy_descent,17.2766767118
152,hamiltonian_geometric,17.1151632703
153,sgd,19.9993522583
153,adam,19.9774702687
153,falling_ball,19.9969517698
153,entropy_descent,17.275792093
153,hamiltonian_geometric,17.1148187653
154,sgd,19.9993487538
154,adam,19.9773317405
154,falling_ball,19.9969345035
154,entropy_descent,17.274920928
154,hamiltonian_geometric,17.1144766607
155,sgd,19.9993452532
155,adam,19.9771930201
155,falling_ball,19.9969172605
155,entropy_descent,17.2740628244
155,hamiltonian_geometric,17.114136885
156,sgd,19.9993417563
156,adam,19.9770537359
156,falling_ball,19.9969000407
156,entropy_descent,17.2732174046
156,hamiltonian_geometric,17.1137993777
157,sgd,19.9993382632
157,adam,19.9769140706
157,falling_ball,19.9968828439
157,entropy_descent,17.2723843043
157,hamiltonian_geometric,17.1134640902
158,sgd,19.9993347737
158,adam,19.9767743472
158,falling_ball,19.9968656701
158,entropy_descent,17.271563173
158,hamiltonian_geometric,17.1131309858
159,sgd,19.9993312879
