x_m,y_m,potential_V
0.02,-0.032,-1.0645423471
0.021,-0.032,-1.04835233939
0.022,-0.032,-1.03176787565
0.023,-0.032,-1.01480473879
0.024,-0.032,-0.997478723965
0.025,-0.032,-0.979805635422
0.026,-0.032,-0.961801283139
0.027,-0.032,-0.943481479653
0.028,-0.032,-0.924862037227
0.029,-0.032,-0.9059587657
0.03,-0.032,-0.886787471301
0.031,-0.032,-0.867363956745
0.032,-0.032,-0.847704022756
0.033,-0.032,-0.827823471018
0.034,-0.032,-0.807738108274
0.035,-0.032,-0.787463750937
0.036,-0.032,-0.767016229151
0.037,-0.032,-0.746411388838
0.038,-0.032,-0.725665089765
0.039,-0.032,-0.704793197322
0.04,-0.032,-0.683811565422
-0.04,-0.031,-0.685965210996
-0.039,-0.031,-0.721090421437
-0.038,-0.031,-0.754917350492
-0.037,-0.031,-0.787462152005
-0.036,-0.031,-0.818741002503
-0.035,-0.031,-0.848770073593
-0.034,-0.031,-0.877565508093
-0.033,-0.031,-0.905143399978
-0.032,-0.031,-0.931519778175
-0.031,-0.031,-0.956710594245
-0.03,-0.031,-0.980731713886
-0.029,-0.031,-1.00359891216
-0.028,-0.031,-1.0253278722
-0.027,-0.031,-1.04593418718
-0.026,-0.031,-1.06543336504
-0.025,-0.031,-1.08384083555
-0.024,-0.031,-1.10117195921
-0.023,-0.031,-1.11744203719
-0.022,-0.031,-1.1326663219
-0.021,-0.031,-1.14686002736
-0.02,-0.031,-1.16003833889
-0.019,-0.031,-1.17221642162
-0.018,-0.031,-1.1834094273
-0.017,-0.031,-1.19363249932
-0.016,-0.031,-1.20290077571
-0.015,-0.031,-1.21122939025
-0.014,-0.031,-1.21863347185
-0.013,-0.031,-1.22512814255
-0.012,-0.031,-1.23072851459
-0.011,-0.031,-1.23544968697
-0.01,-0.031,-1.23930674197
-0.009,-0.031,-1.24231474213
-0.008,-0.031,-1.24448872795
-0.007,-0.031,-1.24584371676
-0.006,-0.031,-1.24639470264
-0.005,-0.031,-1.24615665775
-0.004,-0.031,-1.24514453483
-0.003,-0.031,-1.24337327085
-0.002,-0.031,-1.24085779151
-0.001,-0.031,-1.23761301646
0,-0.031,-1.23365386496
0.001,-0.031,-1.22899526165
0.002,-0.031,-1.2236521422
0.003,-0.031,-1.21763945874
0.004,-0.031,-1.21097218467
0.005,-0.031,-1.20366531887
0.006,-0.031,-1.19573388919
0.007,-0.031,-1.18719295509
0.008,-0.031,-1.17805760952
0.009,-0.031,-1.16834298007
0.01,-0.031,-1.15806422935
0.011,-0.031,-1.14723655486
0.012,-0.031,-1.13587518827
0.013,-0.031,-1.1239953944
0.014,-0.031,-1.1116124698
0.015,-0.031,-1.09874174124
0.016,-0.031,-1.08539856395
0.017,-0.031,-1.0715983199
0.018,-0.031,-1.05735641585
0.019,-0.031,-1.04268828147
0.02,-0.031,-1.02760936726
0.021,-0.031,-1.01213514231
0.022,-0.031,-0.996281091867
0.023,-0.031,-0.980062714654
0.024,-0.031,-0.963495519927
0.025,-0.031,-0.946595024314
0.026,-0.031,-0.929376748569
0.027,-0.031,-0.911856214403
